"Titulo";"Publicacao"
"Direito internacional da propriedade intelectual";"2016-02-12"
"Que será que eu vou ganhar?";"2016-02-12"
"Origins of analytical philosophy";"2016-02-13"
"Considerações sobre equilibrio e compatibilidade estrutural";"2016-02-13"
"El negocio de la felicidad";"2016-02-14"
"Plano Nacional de Polâticas para as Mulheres";"2016-02-14"
"Microbiologia de Brock";"2016-02-15"
"Análise de estruturas";"2016-02-15"
"Acessibilidade";"2016-02-15"
"Cartas a um jovem terapeuta";"2016-02-16"
"Tratado de fisioterapia em saúde da mulher";"2016-02-17"
"Cooperativas e tutela coletiva ambiental";"2016-02-17"
"A construçào do samba";"2016-02-18"
"Treinamento muscular inspiratírio para asma";"2016-02-18"
"Guia de hematologia";"2016-02-18"
"Marine pollution and sea life";"2016-02-19"
"O que é informática";"2016-02-19"
"Histírias de vidas de usuários de psicofármacos";"2016-02-20"
"A escravidào no Brasil";"2016-02-21"
"A matrix handbook for statisticians";"2016-02-22"
"Supermanifolds and supergroups";"2016-02-23"
"O combate a inflaçào no Brasil";"2016-02-23"
"Mente positiva";"2016-02-24"
"As memírias da viscondessa";"2016-02-26"
"Rousseau e a Revoluçào";"2016-02-26"
"As mil e uma noites";"2016-02-27"
"Tarzan e os homens-leopardo";"2016-02-28"
"Avaliaçào do programa de tutorizaçào da Emater-RN para servidores em estágio probatírio";"2016-02-29"
"Aprendi com meu pai";"2016-02-29"
"Error control coding";"2016-03-01"
"Componente especializado da assistência farmacêutica";"2016-03-01"
"Comunismo e coscienza dell'occidente";"2016-03-01"
"Graciliano Ramos e Mossorí";"2016-03-02"
"Natural history of marine animals";"2016-03-03"
"O método contextual dinâmico aplicado a poemas de Fernando Pessoa";"2016-03-03"
"O menino do pijama listrado";"2016-03-04"
"Financiamento da educaçào infantil";"2016-03-04"
"O menino, seu avô e a árvore da vida";"2016-03-05"
"A escravidào no Brasil";"2016-03-05"
"Special relativity for beginners";"2016-03-05"
"O Rio Sào Francisco";"2016-03-06"
"Seminário Nacional sobre Desastres Ambientais,Curitiba, PR, de  7 a 8 novembro de 2000 -";"2016-03-06"
"Religiosidade e poder em Ceará-MirimRN";"2016-03-08"
"Penteados de Angola";"2016-03-08"
"Fitnessgramactivitygram";"2016-03-09"
"Vendo o dicionário com outros olhos";"2016-03-11"
"Michel Foucault e a dominaçào";"2016-03-11"
"Modernizaçào sem mudanças";"2016-03-13"
"Lângua portuguesa";"2016-03-13"
"Amplificador operacional";"2016-03-13"
"Conhecimento publico";"2016-03-13"
"Prediçào da incrustaçào em um trocador de calor baseada em redes neurais artificiais";"2016-03-14"
"Quinhentos anos de periferia";"2016-03-14"
"Guia do lâder comunitário";"2016-03-15"
"Marketing contra a pobreza";"2016-03-15"
"Leopoldina e Pedro I";"2016-03-16"
"Estrutura da comunidade de lagartos de um remanescente de mata atlântica do Estado do Rio";"2016-03-17"
"Influência dos modelos digitais de terreno na modelagem de circulaçào hidrodinâmica 2DH";"2016-03-18"
"A chama breve";"2016-03-18"
"Videocirurgia";"2016-03-18"
"Computational complexity";"2016-03-19"
"Vida";"2016-03-19"
"Le principe de raison";"2016-03-20"
"Deforestation and land use in the Amazon";"2016-03-20"
"Optimisation";"2016-03-20"
"Practical image and video processing using MATLAB";"2016-03-20"
"Corpo, ciência e mercado";"2016-03-20"
"Problemas de estética";"2016-03-21"
"Transforming music education";"2016-03-21"
"Jornadas sobre Nutriçào em Aquacultura  NATO WORKSHOP on Nutrition";"2016-03-21"
"Da sentença liminar à  nulidade da sentença";"2016-03-22"
"Tratado da natureza humana";"2016-03-22"
"Tableau de la philosophie française";"2016-03-23"
"Polâtica institucional de monitoramento da autogestào das cooperativas do Estado de Sào Pa";"2016-03-23"
"O sonho dos heríis";"2016-03-24"
"O homem que nunca existiu";"2016-03-26"
"Educaçào para a cidadania e ensino superior";"2016-03-27"
"Currâculo na contemporaneidade:";"2016-03-29"
"Ecoturismo";"2016-03-30"
"O piquenique do Catapimba";"2016-03-31"
"Plastics materials";"2016-03-31"
"Histoire de la philosophie ancienne. -";"2016-04-01"
"Manufacturing material effects";"2016-04-01"
"Vigor e inovaçào na pesquisa brasileira";"2016-04-01"
"Isso é que é";"2016-04-02"
"à?ndios e negros do Brasil";"2016-04-03"
"Nova polâtica industrial: desenvolvimento e competitividade. -";"2016-04-03"
"A spectrum of voices";"2016-04-04"
"A cultura da ervilha";"2016-04-05"
"Planejamento governamental para municâpios";"2016-04-07"
"O filantropo";"2016-04-07"
"2,286 traditional stencil designs";"2016-04-08"
"O termômetro de McLuhan";"2016-04-08"
"Os desastres de Sofia";"2016-04-09"
"Manual de direito administrativo";"2016-04-09"
"Para filosofar";"2016-04-10"
"Entreatos";"2016-04-10"
"Why social justice matters";"2016-04-11"
"Direito econômico";"2016-04-11"
"Odontologia restauradora";"2016-04-12"
"Presupposition and [e]motion";"2016-04-12"
"Regras e conselhos sobre a investigaçào cientâfica";"2016-04-13"
"Triste fim de Policarpo Quaresma";"2016-04-13"
"Aconteceu na capitania do Rio Grande";"2016-04-14"
"A famâlia de Flora";"2016-04-15"
"O sintoma e suas faces";"2016-04-16"
"Efeito da adiçào de grafite expandido por microondas nas propriedades térmicas, elétricas";"2016-04-16"
"Faces da moeda";"2016-04-16"
"A màe que desistiu do céu";"2016-04-17"
"Os fazeres na educaçào infantil";"2016-04-17"
"Understanding media";"2016-04-18"
"A arte rupestre como expressào comunicativa da cultura";"2016-04-19"
"Típicos em deglutiçào e disfagia";"2016-04-19"
"Lengua castellana & literatura bachillerato 1";"2016-04-20"
"A escassez de água para abastecimento público e seus reflexos socioeconômicos no Municâpio";"2016-04-21"
"Justicia de transiciín:";"2016-04-21"
"Restriçào de crescimento extrauterino e fatores preditores da evoluçào nutricional em recé";"2016-04-22"
"CRUTAC, Centro Rural Universitário de Treinamento e de Açào Comunitária";"2016-04-23"
"A humana complexidade";"2016-04-23"
"Métodos de investigaçào sociolígica";"2016-04-24"
"Cultura da convergência";"2016-04-25"
"Uma arquitetura para detecçào online de transientes em sinais de eletrocardiograma sobre o";"2016-04-25"
"Psicologia da saúde";"2016-04-27"
"Psicologia evolutiva";"2016-04-28"
"Cartografias mito-poéticas do imaginário nelidiano";"2016-04-29"
"Técnica radiolígica das vias biliares extra-hepáticas e do aparelho urinário";"2016-04-30"
"Currâculo e polâticas públicas";"2016-05-01"
"O corpo da naçào";"2016-05-01"
"Filiaçào religiosa como um marcador de grupo em uma variaçào do jogo dos bens públicos e a";"2016-05-01"
"Natal";"2016-05-01"
"Marine mammals";"2016-05-02"
"O komintern sem máscara";"2016-05-02"
"Meditações sobre um cavalinho de pau";"2016-05-02"
"O Desgosto da lagosta";"2016-05-03"
"Los libros del conquistador";"2016-05-03"
"Assim falou Zaratustra";"2016-05-03"
"Aprenda em 21 dias Java 1.2";"2016-05-03"
"Medo do escuro";"2016-05-03"
"Mathematics for the nonmathematician";"2016-05-04"
"Acolhimento institucional e desenvolvimento moral";"2016-05-04"
"Primeiras cartas do Brasil";"2016-05-04"
"Negociando em qualquer situaçào";"2016-05-04"
"Harry Potter e o cálice de fogo";"2016-05-05"
"Antropologia sexual";"2016-05-05"
"Reforma polâtica republicana";"2016-05-06"
"From religion to philosophy";"2016-05-07"
"Baudolino";"2016-05-08"
"La difference ontologique";"2016-05-09"
"Onde fica o Ateneu?";"2016-05-09"
"Deu no jornal";"2016-05-09"
"Prêmio FUNARTE de dramaturgia 2005";"2016-05-10"
"Pequeno manual de treinamento em sistemas de gestào ambiental";"2016-05-10"
"Formaçào de professores?:";"2016-05-10"
"Arte de pontuar";"2016-05-10"
"Estilos de antropologia";"2016-05-11"
"Princâpios de fâsica";"2016-05-13"
"Literatura e antropologia do imaginário";"2016-05-14"
"Convençào consciente";"2016-05-15"
"Bingo, o ursinho com grandes ideias!";"2016-05-15"
"à‰crits sur le signe";"2016-05-17"
"Uma carta a cada uma";"2016-05-18"
"Modern college physics";"2016-05-19"
"Filosofia:";"2016-05-21"
"Um caboclo amazônico";"2016-05-21"
"Fish in nutrition";"2016-05-22"
"Fundamentos de cirurgia vascular e angiologia";"2016-05-22"
"O chào de Minas";"2016-05-23"
"A escrava Isaura";"2016-05-24"
"O bom professor e sua pratica";"2016-05-25"
"Pís-Brasâlia";"2016-05-25"
"Design for sustainability";"2016-05-27"
"New writing from Ireland";"2016-05-28"
"Une philosophie de l'être est-elle encore possible?";"2016-05-29"
"Empiricism and the philosophy of mind";"2016-05-29"
"Histoire de la littérature française";"2016-05-29"
"Marco de referência de educaçào alimentar e nutricional para as polâticas públicas. -";"2016-05-30"
"Memírias de luta";"2016-05-30"
"A dual autobiography";"2016-05-30"
"Diabetes melito tipo 2";"2016-05-30"
"Marx e a liberdade";"2016-05-31"
"Eficiência da fixaçào biolígica de nitrogênio pela inoculaçào de estirpes de Bradyrhizobiu";"2016-05-31"
"Curso de gestào ambiental";"2016-06-03"
"Fumar ou nào fumar";"2016-06-06"
"The body";"2016-06-06"
"O flautista mà?gico";"2016-06-06"
"Declaraçào de bens";"2016-06-07"
"Estratégia e táticas de preços:";"2016-06-07"
"Introduction a la philosophie";"2016-06-08"
"Silicon literacies";"2016-06-08"
"The ontogenesis of grammar";"2016-06-10"
"Sistema CONFEACREA";"2016-06-10"
"Hierarquizaçào e identificaçào dos espaços urbanos";"2016-06-11"
"Max Stirner, o único e o que lhe é príprio";"2016-06-11"
"Mitos conjugais";"2016-06-11"
"Alexandre Wollner e a formaçào do design moderno no Brasil";"2016-06-12"
"A produçào dialígica do texto escrito";"2016-06-13"
"Criaçào de abelhas indâgenas sem ferrào";"2016-06-15"
"Estudos do lazer";"2016-06-15"
"Sistema de soluçào de controvérsia no Mercosul:";"2016-06-15"
"Análise paramétrica da simulaçào composicional do processo de drenagem gravitacional assis";"2016-06-15"
"Relações humanas na familia e no trabalho";"2016-06-16"
"Tratamento térmico do titânio e suas consequências sobre as propriedades fâsico-quâmicas e";"2016-06-18"
"Classificaçào automática de modulaçào digital com uso de correntropia para ambientes de rá";"2016-06-19"
"O sexo que Deus lhe deu";"2016-06-19"
"Um zoo cheio de histírias";"2016-06-19"
"Anais do Senado do Império do Brasil";"2016-06-19"
"Lorenzato";"2016-06-20"
"Nutriçao na terceira idade";"2016-06-20"
"Atividades biolígicas de xilana de sabugo de milho";"2016-06-20"
"Práticas institucionaisdiscursivas acerca dos cuidados com os bebês prematuros eou de baix";"2016-06-20"
"Que gramática estudar na escola?";"2016-06-21"
"A Origem da Bâblia";"2016-06-24"
"A boa arquitetura de uma geraçào";"2016-06-24"
"Livro das mil e uma noites";"2016-06-24"
"Desvendando periféricos e extensões:";"2016-06-27"
"A cultura do superfluo";"2016-06-28"
"Histíria del traje en imagenes";"2016-06-29"
"Como escrever artigos cientâficos";"2016-06-29"
"Estruturas de dados";"2016-06-29"
"Anoxia perinatal";"2016-06-29"
"Marketing management analysis, planning, implementation, and control";"2016-06-29"
"Os progressos da psicanálise";"2016-06-29"
"Administraçào de alta performance";"2016-06-30"
"Desenvolvimento da civilizaçào material no Brasil";"2016-06-30"
"L'existentialisme";"2016-07-01"
"Alterações na evocaçào de uma memíria aversiva ao longo do ciclo estral de ratas";"2016-07-01"
"Physics of semiconductor devices";"2016-07-02"
"Apoio social e sândrome da fragilidade em idosos residentes na comunidade";"2016-07-02"
"Identificaçào de uma planta de corrente de um motor de induçào utilizando redes de base ra";"2016-07-02"
"Trama doce-amarga";"2016-07-02"
"Gravitomagnetismo e o teste da sonda gravidade B";"2016-07-03"
"A diferença entre os iguais";"2016-07-04"
"Traiçào";"2016-07-05"
"Sistemas eleitorais";"2016-07-05"
"Handbook of development economics";"2016-07-06"
"Pesquisa sobre saúde familiar no Nordeste Brasil 1991";"2016-07-06"
"Mitologia grega";"2016-07-07"
"Formaçào e prática pedagígica";"2016-07-07"
"Perspectiva desde a rocha";"2016-07-08"
"L'existencialisme est un humanisme";"2016-07-08"
"A farsa";"2016-07-09"
"O diagnístico individual";"2016-07-09"
"Assistentes sociais e religiào";"2016-07-09"
"Etiqueta";"2016-07-10"
"Quimica de los compuestos de coordinacion:";"2016-07-12"
"Campos sulinos";"2016-07-12"
"Restingas origem, estrutura, processos";"2016-07-13"
"Gestào de gabinetes de magistrados nas câmaras câveis do Tribunal de Justiça do Rio Grande";"2016-07-14"
"El Muro";"2016-07-14"
"Lígica";"2016-07-14"
"O Rio Sào Francisco e a Chapada Diamantina";"2016-07-15"
"Behaviour of teleost fishes";"2016-07-16"
"Histírias e memírias da educaçào no Brasil";"2016-07-17"
"O dossie Odessa";"2016-07-17"
"Imunologia clânica na prática médica";"2016-07-17"
"Como transformar sua equipe no seu maior patrimônio";"2016-07-19"
"Hercolino Cascardo, interventor exemplar";"2016-07-19"
"Crime e castigo";"2016-07-20"
"Manual de musculaçào";"2016-07-21"
"Grafologia";"2016-07-21"
"Paz e guerra entre as nações";"2016-07-21"
"Por que os gêmeos sào tào iguais?";"2016-07-23"
"Carnaúba";"2016-07-23"
"O escultor da alma";"2016-07-23"
"A era de Napoleào";"2016-07-23"
"A famâlia do Marcelo";"2016-07-23"
"Uso da glicerina oriunda da sântese do biodiesel em sistemas microemulsionados visando apl";"2016-07-27"
"Sabiá consolador";"2016-07-27"
"Planalto";"2016-07-28"
"Agricultura de Goiás";"2016-07-30"
"Bantos, malês e identidade negra";"2016-07-30"
"Orla carioca";"2016-07-31"
"A formaçào do candomblé";"2016-07-31"
"Análise da germinaçào";"2016-08-02"
"Construction metallique";"2016-08-03"
"O caudilhismo";"2016-08-04"
"Matching theory";"2016-08-04"
"Arbitragem na administraçào pública";"2016-08-06"
"GIS for coastal zone management";"2016-08-07"
"Fronteiras sangrentas (heríis do Amapá)";"2016-08-08"
"Comparaçào de desempenho da deconvoluçào preditiva multicanal e da filtragem F-K na atenua";"2016-08-09"
"Hipertensào arterial sistêmica e fatores de risco em servidores atendidos pelo Departament";"2016-08-09"
"Pierre Auguste Renoir (1841-1919)";"2016-08-09"
"A empresa totalmente voltada para o cliente";"2016-08-09"
"O espârito das leis";"2016-08-10"
"Curso de economia:";"2016-08-10"
"Evoluçào dos seres vivos";"2016-08-11"
"Conjuntura dos recursos hâdricos no Brasil 2009";"2016-08-11"
"Terapia fonoaudiolígica para os desvios fonolígicos";"2016-08-11"
"Oi, eu sou o Anjinho";"2016-08-12"
"There's something about Gà¨odel";"2016-08-13"
"Declaraçào universal dos direitos humanos. -";"2016-08-13"
"Origem do termo samba";"2016-08-13"
"A revoluçào do amor";"2016-08-14"
"Estudios sobre el amor";"2016-08-16"
"Gestào e jurisdiçào";"2016-08-16"
"Taxas bilaterais de câmbio";"2016-08-17"
"Dinâmica e estrutura de redes complexas no modelo de afinidade";"2016-08-17"
"Dicionário de termos de gastronomia";"2016-08-19"
"Natal Rio Grande do Norte. -";"2016-08-19"
"Um mestre na periferia do capitalismo";"2016-08-21"
"Incarnation";"2016-08-21"
"Novos padrões de administraçào";"2016-08-21"
"Brincar, jogar, viver";"2016-08-22"
"Contos fluminenses";"2016-08-22"
"Saberes e fazeres geográficos";"2016-08-23"
"Nào é sopa";"2016-08-24"
"Alfabetizaçào e letramento";"2016-08-26"
"Teoria da ciência jurâdica";"2016-08-26"
"Saúde e direitos reprodutivos no Brasil";"2016-08-27"
"Lampiào, o sertào e sua gente";"2016-08-28"
"A universidade pioneira";"2016-08-28"
"Siri Rafael";"2016-08-29"
"The works of Archimedes";"2016-08-30"
"Qualidade nutricional dos cardápios em escolas públicas e alcance à s metas do Programa Na";"2016-08-30"
"Principles of communication engineering";"2016-08-31"
"O local da diferença";"2016-08-31"
"Recursos no Cídigo de processo civil e na Lei dos juizados especiais câveis";"2016-08-31"
"Histíria universal da música";"2016-09-01"
"Ephemera";"2016-09-01"
"Converging clinical and engineering research on neurorehabilitation";"2016-09-02"
"Lígica para principiantes";"2016-09-03"
"Marte e a mente do homem";"2016-09-03"
"Naçào xambá";"2016-09-03"
"Introduction to classical mechanics";"2016-09-03"
"Histíria da literatura brasileira";"2016-09-03"
"Nos tempos do Blackout";"2016-09-04"
"Ensaios sôbre a teoria do conhecimento";"2016-09-04"
"A lenda da gralha azul";"2016-09-04"
"Fundamentos de eletrônica";"2016-09-05"
"Foundations of cellular neurophysiology";"2016-09-05"
"Horizontes transversais:";"2016-09-06"
"Patologia";"2016-09-06"
"Dudu, amigo do mar";"2016-09-07"
"Social dimension of leprosy(the)";"2016-09-07"
"Os peões do grande ABC";"2016-09-07"
"Caatinga";"2016-09-07"
"Introduçào à  bioclimatologia animal";"2016-09-07"
"Contabilidade geral facil";"2016-09-09"
"Manual of molecular and clinical laboratory immunology";"2016-09-09"
"Fixing Frege";"2016-09-09"
"Càes";"2016-09-11"
"Construindo o estado republicano";"2016-09-11"
"Atmospheric science";"2016-09-11"
"Estrutura populacional e aspectos reprodutivos do Octopus insularis (Cephalopoda: Octopodi";"2016-09-11"
"0 papel da leitura nas aulas de inglês";"2016-09-14"
"Polâticas educacionais, tecnologias e formaçào do educador";"2016-09-15"
"Finanças e sistema financeiro nacional para concursos";"2016-09-15"
"A previdência rural universalista e a sua relevância na economia dos municâpios do Rio Gra";"2016-09-16"
"Tributaçào no Brasil";"2016-09-16"
"As raâzes clássicas da historiografia moderna";"2016-09-16"
"à‰ possâvel fixar a perigosidade social?";"2016-09-19"
"Dinamica da modernizaçào";"2016-09-19"
"Melào";"2016-09-19"
"Regulador automático de tensào robusto utilizando técnicas de controle adaptativo";"2016-09-20"
"Anjos do sol";"2016-09-21"
"Manual prático do condomânio";"2016-09-21"
"Dom Marcelo de Sevilha";"2016-09-22"
"Principles of computerized tomographic imaging";"2016-09-22"
"Buda";"2016-09-24"
"As medidas do homem e da mulher";"2016-09-24"
"Diretrizes operacionais";"2016-09-25"
"Depressào em crianças";"2016-09-25"
"Manga para exportaçào:";"2016-09-25"
"Herpes";"2016-09-25"
"Bruno Enei";"2016-09-27"
"Mathematics of multidimensional seismic imaging, migration, and inversion";"2016-09-27"
"O laço cor-de-rosa";"2016-09-28"
"Licenciamento ambiental";"2016-09-29"
"Introduçào a biologia";"2016-09-29"
"Tuca, voví e Guto";"2016-10-01"
"Avaliaçào da qualidade do gasto público e mensuraçào da eficiência";"2016-10-01"
"Dictionary of automotive engineering";"2016-10-03"
"Ministro Marco Aurélio";"2016-10-03"
"Análise dos aspectos psicofisiolígicos do estresse crônico laboral percebido em trabalhado";"2016-10-03"
"Licitações e contratos administrativos";"2016-10-05"
"Um Estudo do meio fâsico com fins de aplicaçào ao planejamento do uso agrâcola da terra no";"2016-10-05"
"The finite element method";"2016-10-07"
"Cartilha do meio ambiente. -";"2016-10-07"
"A Construçào axiolígica do riso na charge";"2016-10-08"
"Minhas escolas";"2016-10-08"
"Modal logics and philosophy";"2016-10-08"
"Estudos de validade da escala de dependência alccílica do Millon Multiaxial Inventory III";"2016-10-09"
"Comunicações sem fio";"2016-10-10"
"Constitucionalidade da protecçào penal dos direitos de autor e da propriedade industrial";"2016-10-10"
"Acesso aos serviços de saúde em municâpios da Baixada Santista";"2016-10-10"
"Literatura do cacau";"2016-10-11"
"Diseases of Fish";"2016-10-12"
"Manejo racional de abelhas africanizadas e de meliponâneos no nordeste do Brasil";"2016-10-13"
"O véu de renda sem fim";"2016-10-13"
"Metamorfoses da Amazônia";"2016-10-15"
"Reflexões sobre a lingua portuguesa";"2016-10-16"
"Guia de fontes da UFES";"2016-10-16"
"A academia do fardào e da confusào";"2016-10-17"
"O vento assobiando nas gruas";"2016-10-19"
"Diretírio litúrgico Igreja no Brasil:";"2016-10-19"
"O sabor da conquista";"2016-10-19"
"The Adapted mind";"2016-10-20"
"Bacteriologia e imunologia";"2016-10-20"
"Guia de divulgaçào cientâfica";"2016-10-21"
"Philosophy of arithmetic";"2016-10-21"
"Pavement management systems";"2016-10-22"
"Recreaçào na hotelaria";"2016-10-22"
"La Philosophie morale";"2016-10-24"
"Biodiversidade dos campos do planalto das araucárias";"2016-10-24"
"Alfred Binet";"2016-10-26"
"Creating business advantage in the information age";"2016-10-26"
"Incorporaçào de cinzas da casca de café na produçào de placas cerâmicas para revestimento";"2016-10-27"
"O corpo poético";"2016-10-27"
"Zinco sérico e parâmetros farmacocinéticos na determinaçào do estado corporal de zinco em";"2016-10-27"
"Dos crimes contra a pessoa";"2016-10-28"
"O amor me trouxe de volta";"2016-10-29"
"Espaà±a en la XXIV Bienal Internacional de Sào Paulo";"2016-10-29"
"Criatividade quântica";"2016-10-29"
"Justiça criminal e democracia II";"2016-10-29"
"Igrejas evangélicas e atuaçào social no Bairro de Felipe Camarào em Natal-RN";"2016-10-30"
"Integrating advanced computer-aided design, manufacturing, and numerical control";"2016-10-30"
"Panorama econômico dos principais segmentos do setor farmacêutico brasileiro";"2016-10-31"
"Reforma polâtica";"2016-10-31"
"Gà¶del, Escher, Bach";"2016-11-01"
"Motivaçào nas organizações";"2016-11-01"
"Plantas aromáticas";"2016-11-01"
"Címo fue la enseà±anza popular en la Argentina";"2016-11-04"
"A universidade e o desafio da mudança";"2016-11-07"
"A geraçào de inovaçào na carcinicultura do RN";"2016-11-09"
"A Natureza social das finanças";"2016-11-09"
"Edu vê televisào demais";"2016-11-11"
"Parto vertical";"2016-11-12"
"Steam";"2016-11-13"
"Thomisme et méthode. -";"2016-11-13"
"Direito constitucional descomplicado";"2016-11-14"
"O caso Wagner";"2016-11-17"
"O horizonte regional do Brasil";"2016-11-17"
"Vacaciones al sol";"2016-11-17"
"The sciences of the artificial";"2016-11-17"
"Estudo da potencialidade do resâduo cerâmico incorporado na produçào de tijolos maciços de";"2016-11-18"
"X encontro universitário de iniciaçào à  pesquisa";"2016-11-18"
"O livro do analista de negícios";"2016-11-20"
"Moving to e-business";"2016-11-20"
"Astronomia, educaçào e cultura";"2016-11-22"
"Cídigo penal para concursos";"2016-11-22"
"A Paraâba que podemos ser";"2016-11-23"
"Brás, Bexiga e Barra Funda e outros contos";"2016-11-23"
"A pluralidade dos espelhos";"2016-11-23"
"No fundo de um sonho";"2016-11-24"
"Alterações do ciclo sono-vigâlia moduladas por dopamina e suas consequências mnemônicas";"2016-11-24"
"O canto do galo";"2016-11-24"
"Travessia do silêncio, testemunho e reparaçào";"2016-11-25"
"Production enhancement with acid stimulation";"2016-11-26"
"Moça perfumosa, rapaz pimpào";"2016-11-27"
"Guia do trabalho cientâfico";"2016-11-27"
"Lattice-valued logic";"2016-11-28"
"Spectral analysis and filter theory in applied geophysics";"2016-11-29"
"La ontologia fundamental de Heidegger";"2016-11-30"
"As noites mussetianas na lârica castroalvina";"2016-12-01"
"Questào social e polâticas sociais no Brasil contemporâneo";"2016-12-01"
"Sistemas de irrigaçào por aspersào";"2016-12-01"
"Principios de geodinámica";"2016-12-02"
"Materiais estruturados para reforma a seco de metano";"2016-12-02"
"Ensaios dilatométricos em um depísito de argila mole do bairro do Ibura, Recife, PE";"2016-12-03"
"Comportamento produtivo de cultivares de milho na regiào Meio-Norte do Brasil";"2016-12-03"
"Escrever melhor";"2016-12-04"
"Análise de desempenho baseada em simulaçào de redes wirelessHART";"2016-12-05"
"Estudo do potencial poluidor da atividade de revenda de combustâveis lâquidos na cidade de";"2016-12-05"
"The megatectonics of continents and oceans.";"2016-12-05"
"Evaluaciín ambiental estratégica para la formulaciín de polâticas";"2016-12-07"
"O capitào saiu para o almoço e os marinheiros tomaram conta do navio";"2016-12-08"
"Aspectos modernos do direito marâtimo e portuário";"2016-12-08"
"Primírdios da urbanizaçào no Ceará";"2016-12-08"
"Como se fosse dinheiro";"2016-12-08"
"A tragédia de Isabella Nardoni e a condenaçào dos réus";"2016-12-08"
"The complete etchings of Rembrandt";"2016-12-09"
"As relações entre o público e o privado no processo de expansào do ensino superior no Bras";"2016-12-09"
"Decifrar pessoas";"2016-12-10"
"Ambiente para desenvolvimento de aplicações fuzzy industriais";"2016-12-10"
"Manual de fírmulas e tabelas matemáticas";"2016-12-11"
"Aurora:";"2016-12-13"
"The conceptual roots of mathematics";"2016-12-14"
"Arquitetura residencial em Joào Pessoa-PB";"2016-12-14"
"Variações interétnicas";"2016-12-15"
"Picasso's vollard suite";"2016-12-15"
"Avaliaçào espectrofotométrica do manchamento de resinas odontolígicas contendo nanopartâcu";"2016-12-15"
"Será que vai doer?";"2016-12-17"
"Gil Blas de Santillane";"2016-12-17"
"Sugar Blues";"2016-12-17"
"Oxford collocations dictionary";"2016-12-17"
"Relacoes publicas";"2016-12-18"
"BachÂ’s cello suites";"2016-12-19"
"Ecologia e socialismo";"2016-12-21"
"Aventuras de um geílogo pioneiro na Amazônia";"2016-12-21"
"Empacotamento e pasteurizaçào de leite na fazenda";"2016-12-23"
"A escola do Marcelo";"2016-12-23"
"A bela adormecida";"2016-12-26"
"Crime";"2016-12-26"
"Usucapiào de imíveis";"2016-12-27"
"O grào da voz";"2016-12-27"
"The paraview guide";"2016-12-27"
"Otimizaçào do processo de sântese do aluminato de cobalto via método de polimerizaçào de c";"2016-12-28"
"O plano trienal e o ministério do planejamento";"2016-12-28"
"Indicadores territoriais da populaçào com baixo rendimento por setores censitários";"2016-12-28"
"A testemunha ocular do crime";"2016-12-30"
"Responsabilidade civil por danos ao meio ambiente";"2016-12-31"
"48Âº Congresso Anual da ABM";"2016-12-31"
"Legislativo e democracia";"2017-01-03"
"Colagens, recortes e dobraduras";"2017-01-05"
"Perspectivas";"2017-01-05"
"Sexualidade";"2017-01-06"
"Sociologia do direito";"2017-01-06"
"Physiologie humaine";"2017-01-07"
"Manual prático do enxertador e criador de mudas de árvores frutâferas e dos arbustos ornam";"2017-01-07"
"Aspectos controvertidos da açào câvil pública";"2017-01-09"
"Ela é carioca";"2017-01-09"
"Como classificar e ordenar documentos de arquivo";"2017-01-09"
"Sociologia das histírias aos quadrinhos";"2017-01-10"
"O contrato social";"2017-01-11"
"O lobo do espaço";"2017-01-12"
"Futebol";"2017-01-12"
"Bases e aplicações dos valores em psicologia e educaçào";"2017-01-13"
"Wetlands";"2017-01-14"
"O lâder do futuro";"2017-01-14"
"O leào e o camundongo";"2017-01-15"
"Polâtica e plano municipal de saneamento ambiental";"2017-01-16"
"Cálculo diferencial e integral, II volume";"2017-01-17"
"Hacia un orteguismo de izquierda";"2017-01-17"
"O bolo";"2017-01-17"
"Curso de processo penal";"2017-01-18"
"Remote sensing of algal blooms in the Swan River";"2017-01-19"
"Açào civil pública e inquérito civil";"2017-01-19"
"Avaliaçào de impacto ambiental";"2017-01-19"
"Becoming a better value creator:";"2017-01-19"
"Fitoterapia";"2017-01-20"
"O Dragào do Mar e a Fortaleza pís-moderna";"2017-01-20"
"Pensar e dizer";"2017-01-21"
"Minimanual compacto de biologia";"2017-01-21"
"Two lives of Charlemagne";"2017-01-22"
"Principles of human physiology";"2017-01-23"
"Imível agrário";"2017-01-24"
"Acesso aos direitos sociais";"2017-01-24"
"Abrigo";"2017-01-25"
"Biografâa crâtica y documental de Marcelino Menéndez Pelayo";"2017-01-27"
"Gastroenterologia";"2017-01-27"
"Doce cuentos peregrinos";"2017-01-28"
"Estudos sobre o processo cautelar";"2017-01-29"
"Crimes de guerra no Vietnà";"2017-01-29"
"A saúde do homem em foco";"2017-01-30"
"Prática de processo penal";"2017-01-31"
"A Invençào do Paâs do futebol";"2017-01-31"
"A sociedade vista do abismo";"2017-02-01"
"De cidade a metrípole";"2017-02-01"
"O universo de Arthur Azevedo";"2017-02-03"
"Cartas";"2017-02-04"
"Embriologia clânica";"2017-02-04"
"Violência e democracia";"2017-02-05"
"Análise sensorial de alimentos";"2017-02-05"
"O estilo pedagígico do Mestre Jesus";"2017-02-06"
"Desapropriaçào";"2017-02-07"
"Lady sings the blues";"2017-02-07"
"Educaçào para surdos";"2017-02-07"
"Polâticas públicas no Brasil";"2017-02-08"
